2026-01-31 05:00:41,958 | INFO | Debug logging enabled
2026-01-31 05:01:36,129 | INFO | Opening settings dialog
2026-01-31 05:01:36,130 | INFO | Debug logging enabled
2026-01-31 05:02:46,575 | INFO | Debug logging enabled
2026-01-31 05:02:46,576 | INFO | Auto conversion after sync
2026-01-31 05:02:46,576 | INFO | Conversion started (manual=False)
2026-01-31 05:02:46,577 | INFO | Debug logging enabled
2026-01-31 05:02:46,578 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:02:46,583 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:02:46,757 | DEBUG | Transformed tags: in=['⭐', 'spec', 'v5k', 'vi', 'vt', 'priority', 'form', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Wortart::Godan-Verb(unklassifiziert)', 'JPN::Wortart::intransitivesVerb', 'JPN::Wortart::transitivesVerb']
2026-01-31 05:02:46,757 | DEBUG | Collected tags for note 1769827468802: ['Freq::3980', 'JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Wortart::Godan-Verb(unklassifiziert)', 'JPN::Wortart::intransitivesVerb', 'JPN::Wortart::transitivesVerb', '_intern::yomitan::開あく::1769827468802', '_intern::yomitan_export']
2026-01-31 05:02:46,761 | DEBUG | Linked new note 1769832166758 into source note 1769827468802 field LinkedNotes
2026-01-31 05:02:46,764 | INFO | Conversion done. created=1 skipped=0
2026-01-31 05:02:46,764 | INFO | Conversion finished
2026-01-31 05:05:57,924 | INFO | Debug logging enabled
2026-01-31 05:05:57,925 | INFO | Auto conversion after sync
2026-01-31 05:05:57,925 | INFO | Conversion started (manual=False)
2026-01-31 05:05:57,928 | INFO | Debug logging enabled
2026-01-31 05:05:57,928 | INFO | Starting conversion for source types: [1769367768468]
2026-01-31 05:05:57,935 | DEBUG | Found 1 source notes for model '🇯🇵 | Yomitan Import'
2026-01-31 05:05:57,939 | DEBUG | Transformed tags: in=['⭐', 'ichi', 'gikun', 'adj-no', 'adv', 'n', 'priority', 'form', 'special', 'reading', '★'] out=['JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::giun', 'JPN::Tags::unmapped::ial', 'JPN::Tags::unmapped::reading', 'JPN::Wortart::Adverb', 'JPN::Wortart::Nomen', 'JPN::Wortart::no-Keiyōshi']
2026-01-31 05:05:57,939 | DEBUG | Collected tags for note 1769832354547: ['Freq::5640', 'JLPT::N5', 'JPN::Stil::formal/literarisch', 'JPN::Tags::unmapped::giun', 'JPN::Tags::unmapped::ial', 'JPN::Tags::unmapped::reading', 'JPN::Wortart::Adverb', 'JPN::Wortart::Nomen', 'JPN::Wortart::no-Keiyōshi', '_intern::yomitan::明後日あさって::1769832354547', '_intern::yomitan_export']
